date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:45:06	97300/97300	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2026%20Nov%202010%2016:41:56%20GMT	http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label-webfont.ttf	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label-webfont.ttf	(from http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:45:08	46020/46020	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2026%20Nov%202010%2016:42:14%20GMT	http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.woff	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.woff	(from http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:45:09	93810/93810	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2026%20Nov%202010%2016:42:02%20GMT	http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.eot	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.eot	(from http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:45:11	894/894	---M--	200	added ('OK')	image/x-icon	date:Fri,%2002%20Dec%202005%2006:39:43%20GMT	http://ndpsoftware.com/favicon.ico	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/favicon.ico	(from http://ndpsoftware.com/)
09:45:13	803/803	---M--	200	added ('OK')	text/css	date:Sun,%2002%20Mar%202014%2005:46:30%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css	(from http://ndpsoftware.com/)
09:45:14	30/30	---M--	200	added ('OK')	text/css	date:Mon,%2019%20Nov%202012%2003:41:13%20GMT	http://ndpsoftware.com/css/ndp-print.css	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/css/ndp-print.css	(from http://ndpsoftware.com/)
09:45:15	7992/7992	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Mar%202014%2017:39:37%20GMT	http://ndpsoftware.com/css/ndp.css	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/css/ndp.css	(from http://ndpsoftware.com/)
09:45:15	233981/233981	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2026%20Nov%202010%2016:41:53%20GMT	http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label-webfont.svg	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label-webfont.svg	(from http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:45:22	25168/25168	---M--	200	added ('OK')	application/javascript	date:Fri,%2003%20Dec%202010%2006:50:41%20GMT	http://ndpsoftware.com/js/csster.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/js/csster.js	(from http://ndpsoftware.com/)
09:45:25	1166/1166	---M--	200	added ('OK')	application/javascript	date:Fri,%2003%20Dec%202010%2006:50:32%20GMT	http://ndpsoftware.com/js/color_factory.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/js/color_factory.js	(from http://ndpsoftware.com/)
09:45:25	226926/226926	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2026%20Nov%202010%2016:42:08%20GMT	http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.svg	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.svg	(from http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:45:26	4600/4600	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Apr%202011%2011:32:56%20GMT	http://ndpsoftware.com/js/jquery.boxes.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/js/jquery.boxes.js	(from http://ndpsoftware.com/)
09:45:27	93572/93572	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2026%20Nov%202010%2016:42:11%20GMT	http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.ttf	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.ttf	(from http://ndpsoftware.com/git-cheatsheet/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:45:28	12253/12253	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:28%20GMT	http://ndpsoftware.com/index.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/index-2.html	(from http://ndpsoftware.com/)
09:45:28	15148/15148	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:28%20GMT	http://ndpsoftware.com/visualization.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/visualization.html	(from http://ndpsoftware.com/)
09:45:30	16072/16072	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:30%20GMT	http://ndpsoftware.com/prototype.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/prototype.html	(from http://ndpsoftware.com/)
09:45:30	12952/12952	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:30%20GMT	http://ndpsoftware.com/consulting.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/consulting.html	(from http://ndpsoftware.com/)
09:45:31	3711/3711	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2004%20May%202014%2004:15:32%20GMT	http://platform.linkedin.com/in.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/platform.linkedin.com/in.js	(from http://ndpsoftware.com/)
09:45:31	13114/13114	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:31%20GMT	http://ndpsoftware.com/clients.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/clients.html	(from http://ndpsoftware.com/)
09:45:31	93637/93637	---MC-	200	added ('OK')	text/javascript	date:Tue,%2013%20Nov%202012%2019:53:02%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from http://ndpsoftware.com/)
09:45:32	13501/13501	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2005:37:36%20GMT	http://ndpsoftware.com/JSPXMLCheatSheet.html	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/JSPXMLCheatSheet.html	(from http://ndpsoftware.com/)
09:45:33	32817/32817	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Nov%202012%2005:40:34%20GMT	http://ndpsoftware.com/HibernateMappingCheatSheet.html	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/HibernateMappingCheatSheet.html	(from http://ndpsoftware.com/)
09:45:34	15034/15034	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:34%20GMT	http://ndpsoftware.com/downloads-xsl-struts.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/downloads-xsl-struts.html	(from http://ndpsoftware.com/)
09:45:36	14632/14632	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:34%20GMT	http://ndpsoftware.com/downloads-xsl-resume.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/downloads-xsl-resume.html	(from http://ndpsoftware.com/)
09:45:39	12117/12117	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:39%20GMT	http://ndpsoftware.com/cssExperiments.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/cssExperiments.html	(from http://ndpsoftware.com/)
09:45:40	26084/26084	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:36%20GMT	http://ndpsoftware.com/CssBestPractices.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/CssBestPractices.html	(from http://ndpsoftware.com/)
09:45:40	15185/15185	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:40%20GMT	http://ndpsoftware.com/css.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/css.html	(from http://ndpsoftware.com/)
09:45:41	15480/15480	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:41%20GMT	http://ndpsoftware.com/ScriptaculousEffectsDemo.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/ScriptaculousEffectsDemo.html	(from http://ndpsoftware.com/)
09:45:41	17571/17571	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:42%20GMT	http://ndpsoftware.com/show_char_limit.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/show_char_limit.html	(from http://ndpsoftware.com/)
09:45:42	12627/12627	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:42%20GMT	http://ndpsoftware.com/isbn.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/isbn.html	(from http://ndpsoftware.com/)
09:45:42	11609/11609	---M--	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202011%2015:20:38%20GMT	http://ndpsoftware.com/agile_methods/agile_methods.html	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/agile_methods/agile_methods.html	(from http://ndpsoftware.com/)
09:45:44	2663/2663	---M--	200	added ('OK')	text/html	date:Tue,%2020%20Mar%202007%2004:41:38%20GMT	http://ndpsoftware.com/OpenUpBasic/index.htm	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/OpenUpBasic/index.html	(from http://ndpsoftware.com/)
09:45:45	13936/13936	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:45%20GMT	http://ndpsoftware.com/other.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/other.html	(from http://ndpsoftware.com/)
09:45:46	13408/13408	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:46%20GMT	http://ndpsoftware.com/about.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/about.html	(from http://ndpsoftware.com/)
09:45:46	142649/142649	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2004%20May%202014%2004:15:47%20GMT	http://w.sharethis.com/button/buttons.js	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/w.sharethis.com/button/buttons.js	(from http://ndpsoftware.com/)
09:45:47	19204/19204	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:44%20GMT	http://ndpsoftware.com/softwareDevMaturityModel.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/softwareDevMaturityModel.html	(from http://ndpsoftware.com/)
09:45:47	17316/17316	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:15:47%20GMT	http://ndpsoftware.com/construction.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/construction.html	(from http://ndpsoftware.com/)
09:46:00	233981/233981	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202011%2015:17:37%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label-webfont.svg	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label-webfont.svg	(from http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:46:02	45720/45720	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2024%20Aug%202011%2015:17:43%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label-webfont.woff	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label-webfont.woff	(from http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:46:06	97502/97502	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2024%20Aug%202011%2015:17:41%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label-webfont.eot	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label-webfont.eot	(from http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:46:09	97300/97300	---M--	200	added ('OK')	application/x-font-ttf	date:Wed,%2024%20Aug%202011%2015:17:41%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label-webfont.ttf	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label-webfont.ttf	(from http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:46:13	46020/46020	---M--	200	added ('OK')	application/x-font-woff	date:Wed,%2024%20Aug%202011%2015:17:49%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.woff	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.woff	(from http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:46:14	1870/1870	---M--	200	added ('OK')	text/css	date:Mon,%2019%20Nov%202012%2003:41:38%20GMT	http://ndpsoftware.com/css/undohtml.css	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/css/undohtml.css	(from http://ndpsoftware.com/css/ndp.css)
09:46:19	93810/93810	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2024%20Aug%202011%2015:17:43%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.eot	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.eot	(from http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:46:24	226926/226926	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Aug%202011%2015:17:56%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.svg	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.svg	(from http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:46:25	9393/9393	---M--	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202011%2017:17:45%20GMT	http://ndpsoftware.com/linkedin/	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/linkedin/index.html	(from http://ndpsoftware.com/prototype.php)
09:46:26	3116/3116	---M--	200	added ('OK')	text/css	date:Mon,%2019%20Nov%202012%2004:53:17%20GMT	http://ndpsoftware.com/css/cheatSheet.css	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/css/cheatSheet.css	(from http://ndpsoftware.com/HibernateMappingCheatSheet.html)
09:46:27	93572/93572	---M--	200	added ('OK')	application/x-font-ttf	date:Wed,%2024%20Aug%202011%2015:17:48%20GMT	http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.ttf	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/fonts/Impact-Label-fontfacekit/Impact_label_reversed-webfont.ttf	(from http://ndpsoftware.com/fonts/Impact-Label-fontfacekit/stylesheet.css)
09:46:29	49959/49959	---M--	200	added ('OK')	image/gif	date:Sat,%2022%20Oct%202005%2004:20:11%20GMT	http://ndpsoftware.com/images/soundeditpro.gif	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/images/soundeditpro.gif	(from http://ndpsoftware.com/css/ndp.css)
09:46:29	5460/5460	---M--	200	added ('OK')	image/png	etag:%22814201-1554-4f0c8c2319f40%22	http://i.creativecommons.org/l/by-nc-sa/3.0/88x31.png	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/i.creativecommons.org/l/by-nc-sa/3.0/88x31.png	(from http://ndpsoftware.com/HibernateMappingCheatSheet.html)
09:46:30	4746/4746	---M--	200	added ('OK')	application/xml	date:Wed,%2024%20Aug%202011%2015:16:01%20GMT	http://ndpsoftware.com/struts-config-verify.xsl	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/struts-config-verify.xsl	(from http://ndpsoftware.com/downloads-xsl-struts.php)
09:46:33	16065/16065	---M--	200	added ('OK')	application/xml	date:Wed,%2024%20Aug%202011%2015:25:11%20GMT	http://ndpsoftware.com/resume/resume.xsl	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/resume/resume.xsl	(from http://ndpsoftware.com/downloads-xsl-resume.php)
09:46:35	11579/11579	---MC-	200	added ('OK')	text/html	date:Sun,%2004%20May%202014%2004:16:35%20GMT	http://ndpsoftware.com/resumes.php	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/resumes.html	(from http://ndpsoftware.com/downloads-xsl-resume.php)
09:46:37	37038/37038	---M--	200	added ('OK')	application/xml	date:Wed,%2024%20Aug%202011%2015:25:08%20GMT	http://ndpsoftware.com/resume/andrewpeterson.xml	C:/Users/amit/Downloads/zzzzzzz/git-cheatsheet/git-cheatsheet/ndpsoftware.com/resume/andrewpeterson.xml	(from http://ndpsoftware.com/downloads-xsl-resume.php)
